,Compound,Date,Negative,Neutral,Positive,Tweet,User
161,0.6369,2018-06-13 16:30:31,0.819,0.0,0.181,"RT @BBCOne: There are some ingredients that even Britain’s best home cooks can’t get on board with. #BBHC 🤔

@Chris_Bavin https://t.co/whDV…",BBC
162,0.3612,2018-06-13 18:01:04,0.839,0.0,0.161,😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,BBC
163,0.3612,2018-06-13 18:01:04,0.839,0.0,0.161,😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,BBC
164,-0.4005,2018-06-13 18:28:04,0.863,0.137,0.0,"Discover the story of how Kensington became the most unequal place in Britain. 

Before Grenfell: A Hidden History… https://t.co/68V4lSl8ee",BBC
165,-0.4005,2018-06-13 18:28:04,0.863,0.137,0.0,"Discover the story of how Kensington became the most unequal place in Britain. 

Before Grenfell: A Hidden History… https://t.co/68V4lSl8ee",BBC
166,0.0,2018-06-13 19:03:07,1.0,0.0,0.0,"Anatomist @theAliceRoberts embarks on a quest to rebuild her own body from scratch. 

Can Science Make Me Perfect?… https://t.co/MSu2XCAYqw",BBC
167,0.0,2018-06-13 19:03:07,1.0,0.0,0.0,"Anatomist @theAliceRoberts embarks on a quest to rebuild her own body from scratch. 

Can Science Make Me Perfect?… https://t.co/MSu2XCAYqw",BBC
168,0.8074,2018-06-14 07:01:03,0.52,0.0,0.48,"Could one 'super bacteria’ help to feed our growing world? 
#BBCTakingTheTemperature https://t.co/ShjZWSewSw",BBC
169,0.8074,2018-06-14 07:01:03,0.52,0.0,0.48,"Could one 'super bacteria’ help to feed our growing world? 
#BBCTakingTheTemperature https://t.co/ShjZWSewSw",BBC
170,0.0,2018-06-14 07:27:04,1.0,0.0,0.0,"How our teenage years shape our personality. 
👉 https://t.co/QJTAN44EEc https://t.co/jnEjheADKI",BBC
171,0.0,2018-06-14 07:27:04,1.0,0.0,0.0,"How our teenage years shape our personality. 
👉 https://t.co/QJTAN44EEc https://t.co/jnEjheADKI",BBC
172,0.0,2018-06-14 08:01:02,1.0,0.0,0.0,📚 These Belgian students are revising for exams with monks at a monastery.  https://t.co/JKkUt9hSuA,BBC
173,0.0,2018-06-14 08:01:02,1.0,0.0,0.0,📚 These Belgian students are revising for exams with monks at a monastery.  https://t.co/JKkUt9hSuA,BBC
174,-0.3182,2018-06-14 09:15:10,0.827,0.173,0.0,ICE came for a Tennessee town’s immigrants. The town fought back. https://t.co/ExoLeVwxW8 https://t.co/Pkf30KAKxR,nytimes
175,-0.2263,2018-06-14 09:30:10,0.924,0.076,0.0,"RT @cmontefiore: Macquarie Street in #Hobart - in a few hours traffic will be stopped, the road dug up, and artist Mike Parr will be buried…",nytimes
176,0.0,2018-06-14 09:44:02,1.0,0.0,0.0,"""This may not be a World Cup that changes how the world sees Russia. But it could be a World Cup that changes how R… https://t.co/1uQLbY5pMy",nytimes
177,-0.4588,2018-06-14 10:01:26,0.889,0.111,0.0,RT @emmagf: The Taxi of Tomorrow was supposed to become the standard cab in New York City. Now the city has abandoned that idea: https://t.…,nytimes
178,0.3612,2018-06-14 10:16:01,0.898,0.0,0.102,"RT @nytimesworld: “Street and after street, it was like some sort of military operation.” Laundry was draped outside homes and shops, and e…",nytimes
179,0.0,2018-06-14 10:31:03,1.0,0.0,0.0,"""We have been basing our policy on the basis that the U.S. is a credible partner,"" said a former Japanese ambassado… https://t.co/jBNcGCey0p",nytimes
180,0.3445,2018-06-14 10:45:09,0.709,0.138,0.154,"""We were all kind of worried he might be too tired to do so but thankfully the little guy kept going""… https://t.co/IlSsWHL0pq",nytimes
